"Data Source","World Development Indicators",

"Last Updated Date","2021-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59921043","61471117","63402937","65350376","67372172","69481467","69628074","72075057","74041132","76472275","78497704","80429456","82988105","84689865","87252299","89731927","90815967","91962422","93487963","95330510","95237859","95060186","97603868","98900702","99937529","101600929","102513776","104268846","105542232","107461086","99843099",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136451","134947","137563","139635","141435","143737","142979","143802","144372","144797","145090","146303","147364","148314","150518","151215","151717","152208","152578","152773","152546","153286","151738","154227","150322","152370","154881","155141","155331","155470","147344",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110247","113837","117936","122289","126886","131766","136093","140806","145940","151411","157098","161017","164727","168676","172751","176834","179341","181974","184792","187884","191157","194892","198246","201357","204375","207465","209840","212574","219839","217000","216689",
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216712","217241","216468","215119","214295","214698","218650","224505","231856","240118","248859","257934","267635","277667","287730","297589","304867","311704","318302","325027","322202","320374","315286","325213","323966","348554","357655","366411","374904","383196","378682",
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","429353","445872","462219","478574","495149","512379","529482","547323","566854","578725","588731","608483","627325","645677","664430","684069","704213","735344","766682","796889","776252","843186","900419","950654","962481","978448","998937","1023272","1049426","1076490","1086647",
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1149529","1178329","1212743","1249676","1287692","1325636","1360269","1393494","1426876","1461077","1497551","1527454","1558086","1590916","1622307","1655141","1684060","1713565","1741896","1765289","1784398","1789001","1787281","1792311","1791294","1794828","1815145","1841910","1874454","1910935","1922808",
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14665673","14740812","14715109","14801560","14931216","15027741","15163603","15404364","15650715","15933282","16190364","16458479","16943201","17343484","17552499","17697127","17912331","18276042","18576393","18712291","18918726","19061289","19250224","19475966","19560731","19678725","19888519","20166001","20349923","20743970","20409019",
"Central Europe and the Baltics","CEB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52697486","52900911","52948722","52689715","52345845","51976385","51353140","51087646","50921311","50856090","50811463","50666511","49228527","48929127","48882432","48859119","48935004","48853751","48972334","49037953","49253786","48969451","49230059","49288035","49601473","49520899","49443860","49833643","49722737","49624779","49108219",
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3810153","3856628","3886031","3909559","3881108","3889042","3931851","3931900","3977054","3999626","3998130","4055917","4094212","4141642","4149456","4173059","4237497","4308347","4410305","4480663","4449903","4539303","4597342","4655858","4742868","4813685","4889972","4919831","4953967","4965077","4957318",
"Channel Islands","CHI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68480","68902","69145","69117","69246","69734","70360","70927","71598","72396","72872","74110","75337","76046","76290","76549","76803","77250","78672","80080","80754","80488","80936","81370","81907","82667","83373","84217","85070","85880","85529",
